0	$Up. Down. Repeat.
1	$Pit of death
2	$DDT
3	$RADlands
4	$Chicken's Coop
5	$MowJow JowJow
6	$Pungee Gardens
7	$Westside
8	$Picnic at the Pool
9	$Montana
10	$Shisky
11	$Skoo
12	$Snakerland
13	$Teotihuacan
14	$Vert Park of IC
15	$Dedham Skatepark
16	$Fong's Basement
17	$Two Lane Raceway
18	$The Dizmaker
19	$Congested Raceway
20	$Obstacle Course
21	$Tag Maze
22	$Max's Park
23	$Chimp Palace
24	$Pouncer's House
25	$Trucks Skatepark
26	$Hangar 19
27	$Race Away
28	$Lee Contest
29	$HopNGrind
30	$Props
31	$Pyramid Grind
32	$NFACSB
33	$Tag Arena
34	$Patch Sooper Jump
35	$Wallride Court
36	$Find the 23
37	$SpiralPark
38	$Chum's Pimpage
39	$High And Low
40	$Moat
41	$Down in the Lab
42	$MetalHdZ Park  
43	$Too Much Dujara
44	$Hard Ten
45	$Hall of Pipes
46	$Whoop-de-doo
47	$Coolidge Corner
48	$The Milve Raceway
49	$Quaglietta
